store_id,uptime_last_hour(minutes),downtime_last_hour(minutes),uptime_last_day(hours),downtime_last_day(hours),update_last_week(days),downtime_last_week(days)
8419537941919820732,60,0,24,0,7,0
54515546588432327,60,0,24,0,7,0
8377465688456570187,60,0,24,0,7,0
5955337179846162144,60,0,24,0,7,0
1169347689335808384,60,0,24,0,7,0
3739729523266121270,60,0,24,0,7,0
4430370444829587327,60,0,24,0,7,0
1912555533282230523,60,0,24,0,7,0
5489547402882838709,60,0,24,0,7,0
759601765366096871,60,0,24,0,7,0
5627904252074297008,60,0,24,0,7,0
2651685499613063745,60,0,24,0,7,0
5043046815492880667,60,0,24,0,7,0
2367299134091594697,60,0,24,0,7,0
6613902849003357359,60,0,24,0,7,0
1396650693591399695,60,0,24,0,7,0
837699569013981799,0,60,0,24,0,7
2057963137235512954,60,0,24,0,7,0
6108568838704593560,60,0,24,0,7,0
7815590034868021689,60,0,24,0,7,0
7493928216510270665,60,0,24,0,7,0
7961038966240415760,60,0,24,0,7,0
605803287923472894,60,0,24,0,7,0
5278384915350904550,60,0,24,0,7,0
8494749731668571682,60,0,24,0,7,0
4858828967449392712,60,0,24,0,7,0
7555752115160416405,60,0,24,0,7,0
8625022238145771938,60,0,24,0,7,0
4159147177864939740,60,0,24,0,7,0
8157355919956132858,60,0,24,0,7,0
3595154674145356045,60,0,24,0,7,0
5693932324957995427,60,0,24,0,7,0
8631502755712457479,60,0,24,0,7,0
7369215549436595643,60,0,24,0,7,0
5733393565264082443,60,0,24,0,7,0
4681743429609749121,60,0,24,0,7,0
2567728765809290933,60,0,24,0,7,0
284239040495575980,60,0,24,0,7,0
6656463669299127947,60,0,24,0,7,0
9184109988854973601,60,0,24,0,7,0
6031574077635056029,60,0,24,0,7,0
9111813718630350474,60,0,24,0,7,0
8750493480383302874,0,60,0,24,0,7
3048405945625600463,60,0,24,0,7,0
3983786718839842887,60,0,24,0,7,0
5047154360023757128,60,0,24,0,7,0
7933946190613920010,60,0,24,0,7,0
379226339704530410,60,0,24,0,7,0
1253356761818562621,60,0,24,0,7,0
4755926456158904833,60,0,24,0,7,0
8803894796084290585,60,0,24,0,7,0
6836033035108373086,0,60,0,24,0,7
2639750514662973687,60,0,24,0,7,0
1040732551176103056,60,0,24,0,7,0
8304911926566338483,60,0,24,0,7,0
3361278033591045661,60,0,24,0,7,0
2601623541509400542,60,0,24,0,7,0
8207758013351082541,60,0,24,0,7,0
4249300502744464539,60,0,24,0,7,0
881974164067848799,60,0,24,0,7,0
4031771205466256346,60,0,24,0,7,0
8117247589549708019,60,0,24,0,7,0
5223121655148958959,60,0,24,0,7,0
5281145666427062582,60,0,24,0,7,0
7103249743888768279,60,0,24,0,7,0
6937872202603482963,60,0,24,0,7,0
4359897525988670130,60,0,24,0,7,0
8668949117244880140,60,0,24,0,7,0
329697652999698776,60,0,24,0,7,0
2873839205725435068,60,0,24,0,7,0
1634983772484395625,60,0,24,0,7,0
8754037299794781932,60,0,24,0,7,0
8478659457975884995,60,0,24,0,7,0
3173528025538718452,60,0,24,0,7,0
1172776965412058288,60,0,24,0,7,0
8050904836920798206,60,0,24,0,7,0
3485383537492459194,60,0,24,0,7,0
7791569942019889767,60,0,24,0,7,0
7647796266115725856,60,0,24,0,7,0
7372385631979013974,60,0,24,0,7,0
1886094822273762805,60,0,24,0,7,0
1921227243936268124,60,0,24,0,7,0
2670800031826856367,60,0,24,0,7,0
2529970021684233025,60,0,24,0,7,0
3390153829311738919,60,0,24,0,7,0
2723172216807087715,60,0,24,0,7,0
3457174951287490032,60,0,24,0,7,0
1557691556894768738,60,0,24,0,7,0
4395688375231610603,60,0,24,0,7,0
3480535111316179789,0,60,0,24,0,7
8080175208160124283,60,0,24,0,7,0
